Business Name,City,Phone,Website,Rating,Review Count,Is Franchise,Tier,Notes,Names,Progress,Contacted
F & M Plumbing,"Pasadena, CA",+1 626-296-1060,http://www.fandmplumbing.com/,4.5,48,NO,TIER 1 - HOT,"Pros:
They have yelp reviews but it takes them to a third party site ti fill in reviews
They have google reviews so that is good, 

Cons: 
The placement of text, no reviews on website that are visible on first page.
Just images of their prduct but nothing about their team.
Header being cluttered and Hero section not really hvaing anything useful
Alot of logos that do not directly correlate to plumbing
Alot of text through out home page
Structure of text
Hero section has to much text.",Mke,Callback,FALSE
"Monkey Wrench Plumbing, Heating, Air & Electric","Pasadena, CA",+1 626-714-6224,https://www.monkeywrenchservices.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Pasadena-CA,4.8,273,YES,TIER 3,,,,FALSE
Plumber's Kingdom,"Pasadena, CA",+1 626-594-6355,,4.9,72,NO,TIER 1 - HOT,,,,TRUE
Service Squad,"Pasadena, CA",+1 626-624-4288,http://www.callservicesquad.com/,4.9,130,YES,TIER 3,,,,FALSE
Most Valuable Plumber,"Pasadena, CA",1 415-577-5866,https://mvp-plumbing.com/?utm_source=GBP&utm_medium=organic,4.8,148,NO,TIER 1 - HOT,"Cannot see websit eget a 403 error. Just plan nothing going on, Have alot of google reviews so very well known",Blanca contact person,No,TRUE
Bubbles Plumbing & Electrical,"Pasadena, CA",+1 626-794-8110,http://www.bubbles-plumbing.com/,4.7,31,NO,TIER 1 - HOT,"Website is down, a 404 error, cannot view it. They have minimal reviews, Good reviews 
about their work in the plumbing place, have alot of room for improvement","Richard, He does not 
like websites",,TRUE
Coastal Plumber Pasadena,"Pasadena, CA",+1 213-658-3165,http://coastalplumberpasadena.com/,5,27,NO,TIER 1 - HOT,"Pro:
They have alot of room for improvement,Thye do have alot of text explaining their business so that is a pro,
Cons:
Alot of texr,
Stock images, Basic Hero Section with a Huge chunk of text, could be broken up
No Team photos so you do not know who th eactual team is and what they do.
Very Basic website",Bitch ass zip code,,TRUE
Non Stop Plumbing & Rooter,"Pasadena, CA",+1 626-590-2446,http://nonstoplumbing.com/,5,113,NO,TIER 1 - HOT,"Pro:
They have a website but not a good one at all
Cons:
Online presence is at a minimum, 
Have reviews but nothing is shown on the wbesite
Just show the services, the website is horrible,
Only a contact us form nothing extra with regards to lead follow up
Have no pictures on their website so no trust built",Luke warm Call again,,FALSE
Roto-Rooter Plumbing & Water Cleanup,"Pasadena, CA",+1 626-660-3309,https://www.rotorooter.com/pasadenaca/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.9,753,s,TIER 3,,,,FALSE
New Image Plumbing & Rooter,"Pasadena, CA",+1 626-788-8260,https://www.niplumbing.com/,5,30,NO,TIER 1 - HOT,"Pro:
Very good website, have booking form,
Have images of a truck so they have money,
Have a nice website flow, show all th einformation
Cons: 
They have alot o ftext on the home page,
No images of team, 
They have reviews that they show.",No,,TRUE
Premier Plumber Pasadena,"Pasadena, CA",+1 626-240-1320,http://premierplumberpasadena.com/,5,12,NO,TIER 1 - HOT,"Con: 
Lack of images,
aLot of text on screen so not everyone will read,
Placement of different things like auto quote,
Make the Trust building shorter but more impackful using images,
No reviews on Home page

Pros: 
they have a blog so people could learn more about plumming and how 
to take care of things, this builds trust",,,TRUE
Free Flo Rooter & Plumbing,"Pasadena, CA",+1 855-951-0100,http://www.freeflorooter.com/,5,590,YES,TIER 3,,,,FALSE
VHM Plumbing,"Pasadena, CA",+1 626-746-5732,http://vhmplumbing.com/,5,73,NO,TIER 1 - HOT,"Cons:
One Page website, 
No images about team or certifications on site
Not really auto quoting as they have to send a message and someone has to answer on their side.
Placement of the components and image son site.

Pros:
Have google reviews that they are leveraging",,,FALSE
Super Duper Pros,"Pasadena, CA",+1 213-224-7949,https://www.superduperpros.com/,4.8,34,NO,TIER 1 - HOT,,,,TRUE
The Sewer Company,"Pasadena, CA",+1 626-900-1815,http://thesewerco.com/,4.9,216,NO,TIER 1 - HOT,,,,TRUE
Plumbing Professionals,"Pasadena, CA",+1 626-429-5378,https://theplumbingprofessionals.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,5,24,NO,TIER 1 - HOT,,,,TRUE
Static Plumbing Services Pasadena,"Pasadena, CA",+1 855-225-5162,https://locksmithpasadena.club/,4.8,41,NO,TIER 1 - HOT,,,,TRUE
TONY THE PLUMBER,"Pasadena, CA",+1 877-240-7654,http://tonytheplumbercompany.com/,4.7,25,NO,TIER 1 - HOT,,,,TRUE
1 Day Rooter and Plumbing,"Pasadena, CA",+1 626-702-0202,https://1dayrooterandplumbing.com/?utm_campaign=gmb,5,72,NO,TIER 1 - HOT,"Pro:
They have quoting and also tust badges
Very indepth website

Cons:
Placement and alignment  of items like FAQ and also the paragraphs
Stock images, The reviews are not google or facebook reviews
No trust badges.
",,,TRUE
Merry Plumbing,"Pasadena, CA",+1 626-414-5583,https://www.merryplumbing.com/,5,664,NO,TIER 2,,,,FALSE
Highland Plumbing,"Pasadena, CA",+1 818-636-9334,https://www.highlandplumbing.us/,5,51,NO,TIER 1 - HOT,No website,,,TRUE
EZ Plumbing,"Pasadena, CA",+1 818-908-2170,,4.3,44,NO,TIER 2,,,,FALSE
Hicks Plumbing Technologies,"Pasadena, CA",+1 818-652-9897,http://www.hicksplumbingpasadena.com/contact,5,3,NO,TIER 2,,,,FALSE
Keithley Plumbing,"Pasadena, CA",+1 626-449-0387,http://www.keithleyplumbing.com/,5,8,NO,TIER 1 - HOT,"Pro:
They have a website as well as some reviews, they have very little reviews.
Very family oriented as it si family owned. Their whole business revolves around family.

Cons:
Have alot of text and reviews are hard coded, No reviews from google mybusiuness oage pulled in. Google my business page very desolate and empty.
No images of the team,","Contact tomorrow, Phylis",,TRUE
